price,time_scraped,numRooms,area,yearConstructed,state,energyClass,floor,address,geo
900.0,2020-11-03T09:40:06,3.0,72.0,2006.0,Heas korras,,4.0," Liivaoja tn 14, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4404839691429, 'lng': 24.7817172232788}"
690.0,2020-11-03T09:40:07,3.0,53.6,2016.0,Heas korras,B,2.0," Mardi 6, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4300083, 'lng': 24.7634477}"
1600.0,2020-11-03T09:40:08,2.0,63.5,2018.0,Uus,B,5.0," Pirita Tee 20A, Pirita, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4464381, 'lng': 24.8037681}"
320.0,2020-11-03T09:40:17,2.0,40.5,,Uus,,1.0," Tobiase 2, Kesklinn, Tallinn, Harjumaa","{'lat': 59.43451, 'lng': 24.774737}"
350.0,2020-11-03T09:40:38,2.0,37.0,,Renoveeritud,,1.0," Vallikraavi 11, Kesklinn, Tartu linn, Tartu, Tartumaa","{'lat': 58.3782501, 'lng': 26.7204448}"
650.0,2020-11-03T09:40:51,2.0,57.0,2008.0,Uus,,2.0," Räga 10, Haabersti, Tallinn, Harjumaa","{'lat': 59.4268722, 'lng': 24.6274806}"
290.0,2020-11-03T09:41:03,1.0,32.7,1987.0,Heas korras,D,7.0," Läänemere tee 36, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4520197, 'lng': 24.8773356}"
620.0,2020-11-03T09:41:03,2.0,40.0,1960.0,Renoveeritud,,2.0," Tehnika 57, Kassisaba, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4298795, 'lng': 24.7252437}"
219.0,2020-11-03T09:41:06,1.0,25.0,2019.0,Uus,,5.0," Liimi 1b, Mustamäe, Tallinn, Harjumaa","{'lat': 59.4210279, 'lng': 24.6936969}"
375.0,2020-11-03T09:41:08,2.0,49.1,1981.0,Heas korras,,2.0," Virbi 18, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4410846, 'lng': 24.8449842}"
430.0,2020-11-03T09:41:09,3.0,65.0,1981.0,Heas korras,C,3.0," J. Koorti tn 30, Lasnamäe, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4411494, 'lng': 24.8336606}"
325.0,2020-11-03T09:41:11,1.0,38.4,,Valmis,D,9.0," Lasnamäe 20, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.432097, 'lng': 24.789056}"
520.0,2020-11-03T09:41:11,1.0,33.5,2019.0,Heas korras,B,8.0," Liikuri 7, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4402452, 'lng': 24.8161049}"
395.0,2020-11-03T09:41:12,1.0,30.7,2007.0,Heas korras,D,6.0," Priisle tee 4, Pirita veerel, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4528709, 'lng': 24.8870639}"
280.0,2020-11-03T09:41:19,1.0,23.4,,Heas korras,,3.0," Tobiase 2, Kesklinn, Tallinn, Harjumaa","{'lat': 59.434508, 'lng': 24.774744}"
430.0,2020-11-03T09:41:26,1.0,32.3,2006.0,Uus,D,4.0," Pärnu mnt 110, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4107302, 'lng': 24.7372119}"
390.0,2020-11-03T09:41:38,2.0,49.0,1981.0,Renoveeritud,D,7.0," Võru tn 16, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4430547, 'lng': 24.8329059}"
210.0,2020-11-03T09:41:47,1.0,11.5,,Renoveeritud,,2.0," Pallasti tn 33, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4316046, 'lng': 24.7929099}"
650.0,2020-11-03T09:41:48,2.0,53.0,,Heas korras,,7.0," Narva mnt 7, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4375312, 'lng': 24.7600919}"
219.0,2020-11-03T09:41:53,1.0,25.0,2019.0,Uus,,5.0," Liimi 1b, Kristiine, Tallinn, Harjumaa","{'lat': 59.4210279, 'lng': 24.6936969}"
430.0,2020-11-03T09:41:57,2.0,37.0,1973.0,Uus,C,3.0," Kalda tee 8, Ülejõe, Tartu linn, Tartu, Tartumaa","{'lat': 58.3735093, 'lng': 26.7553895}"
550.0,2020-11-03T09:42:05,3.0,48.7,1961.0,Renoveeritud,,2.0," Pelguranna tn 37, Põhja-Tallinn, Tallinn, Harjumaa","{'lat': 59.447927, 'lng': 24.6870395}"
625.0,2020-11-03T09:42:06,2.0,45.5,2018.0,Uus,,2.0," Saani 2, Kesklinn, Tallinn, Harjumaa","{'lat': 59.435486, 'lng': 24.728388}"
300.0,2020-11-03T09:42:11,1.0,16.8,2019.0,Uus,,1.0," Laki 24, Mustamäe, Tallinn, Harjumaa","{'lat': 59.4134721, 'lng': 24.6770845}"
370.0,2020-11-03T09:42:15,2.0,44.0,,Heas korras,D,4.0," Akadeemia tee 14, Mustamäe, Tallinn, Harjumaa","{'lat': 59.3975826, 'lng': 24.6683706}"
335.0,2020-11-03T09:42:15,2.0,42.0,,Heas korras,,3.0," Filosoofi tn 2b, Kesklinn, Tartu linn, Tartu, Tartumaa","{'lat': 58.3709831, 'lng': 26.7188576}"
1790.0,2020-11-03T09:42:25,4.0,134.5,2007.0,,E,4.0," Supluse pst 1, Pirita, Pirita, Tallinn, Harjumaa","{'lat': 59.4718401, 'lng': 24.8311855}"
450.0,2020-11-03T09:42:26,2.0,39.0,,Renoveeritud,,4.0," Filtri tee 6, Kesklinn, Tallinn, Harjumaa","{'lat': 59.42548, 'lng': 24.769253}"
200.0,2020-11-03T09:42:50,1.0,39.0,,Uus,,1.0," Metsa 18b, TERRASSIGA KORTER, SUVENI, Mai, Pärnu linn, Pärnu, Pärnumaa","{'lat': 58.3706838576162, 'lng': 24.5435837275779}"
320.0,2020-11-03T09:43:02,1.0,32.9,1982.0,Heas korras,E,3.0," Vilisuu tn 2, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4370566126635, 'lng': 24.844325407892}"
340.0,2020-11-03T09:43:06,3.0,60.0,1980.0,Heas korras,,2.0," Rukki 3, Elva linn, Elva vald, Tartumaa","{'lat': 58.2129611, 'lng': 26.3994119}"
1750.0,2020-11-03T09:43:17,3.0,98.0,2007.0,Uus,,26.0," Tornimäe tn 7, Südalinn , Stockmann, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4328329, 'lng': 24.7607151}"
355.0,2020-11-03T09:43:20,2.0,25.3,2020.0,Uus,C,1.0," Krati tee 3/2, Peetri, Rae vald, Harjumaa","{'lat': 59.38804, 'lng': 24.8264919}"
